opdb_id_,first_five,is_machine,name,common_name,shortname,physical_machine,ipdb_id,manufacture_date,year_,type,display,player_count,features,keywords,manufacturer_name,manufacturer_full_name,title,images_type,urls_medium,urls_large,urls_small,sizes_medium_width,sizes_medium_height,sizes_large_width,sizes_large_height,sizes_small_width,sizes_small_height,opdb_id,group_name
G5Yyo-ML3Wo,G5Yyo,True,Tag-Team Pinball,,,1,2489,1985-01-09,1985,ss,alphanumeric,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/fd2b4d2e-cbad-4e94-b776-5fe9ed783aab-medium.jpg,https://img.opdb.org/fd2b4d2e-cbad-4e94-b776-5fe9ed783aab-large.jpg,https://img.opdb.org/fd2b4d2e-cbad-4e94-b776-5fe9ed783aab-small.jpg,613,600,613,600,250,245,G5Yyo,Tag-Team Pinball
GrkK0-MDXxZ,GrkK0,True,3 Jokers,,,1,2540,1970-11-01,1970,em,reels,1,Add-a-ball ,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/5e3553c2-1eb0-434b-b64d-30f559df06fc-medium.jpg,https://img.opdb.org/5e3553c2-1eb0-434b-b64d-30f559df06fc-large.jpg,https://img.opdb.org/5e3553c2-1eb0-434b-b64d-30f559df06fc-small.jpg,324,372,324,372,218,250,GrkK0,Straight Flush / 3 Jokers
GrdlQ-ML8wV,GrdlQ,True,Strato-Flite,,,1,2398,1974-07-01,1974,em,reels,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/1b52964f-c3c9-42ee-9e26-5ae2155c65eb-medium.jpg,https://img.opdb.org/1b52964f-c3c9-42ee-9e26-5ae2155c65eb-large.jpg,https://img.opdb.org/1b52964f-c3c9-42ee-9e26-5ae2155c65eb-small.jpg,640,556,691,600,250,217,GrdlQ,Strato/Astro/Super-Flite
GRKZV-MQZ9X,GRKZV,True,Snow Queen,,,1,2230,1970-11-01,1970,em,reels,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/dd47d30f-be67-44a0-91c1-7151df5e0429-medium.jpg,https://img.opdb.org/dd47d30f-be67-44a0-91c1-7151df5e0429-large.jpg,https://img.opdb.org/dd47d30f-be67-44a0-91c1-7151df5e0429-small.jpg,640,480,800,600,250,188,GRKZV,Snow Queen / Snow Derby
GryQj-MLvN7,GryQj,True,Night Rider,,,1,4497,1976-12-01,1976,ss,alphanumeric,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/d3478a70-4ace-4c9e-9424-9cded6a3be58-medium.jpg,https://img.opdb.org/d3478a70-4ace-4c9e-9424-9cded6a3be58-large.jpg,https://img.opdb.org/d3478a70-4ace-4c9e-9424-9cded6a3be58-small.jpg,306,270,306,270,250,221,GryQj,Night Rider
GrPzV-MDxj7,GrPzV,True,Swords of Fury,,SOF,1,2486,1988-06-01,1988,ss,alphanumeric,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/e4efa6fc-e552-476c-9996-3c5ddbc09bd5-medium.jpg,https://img.opdb.org/e4efa6fc-e552-476c-9996-3c5ddbc09bd5-large.jpg,https://img.opdb.org/e4efa6fc-e552-476c-9996-3c5ddbc09bd5-small.jpg,640,459,837,600,250,179,GrPzV,Swords of Fury
GRwv0-MJ99E,GRwv0,True,Sharkey's Shootout,,SS,1,4492,2000-09-01,2000,ss,dmd,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/62090ecd-a5fc-4218-82fc-9a08d2fc79d8-medium.jpg,https://img.opdb.org/62090ecd-a5fc-4218-82fc-9a08d2fc79d8-large.jpg,https://img.opdb.org/62090ecd-a5fc-4218-82fc-9a08d2fc79d8-small.jpg,640,474,810,600,250,185,GRwv0,Sharkey's Shootout
G4yY2-MLyny,G4yY2,True,Camelot,,,1,422,1970-02-01,1970,em,reels,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/c8fb846f-a1e3-4b02-9c31-22684f5662d3-medium.jpg,https://img.opdb.org/c8fb846f-a1e3-4b02-9c31-22684f5662d3-large.jpg,https://img.opdb.org/c8fb846f-a1e3-4b02-9c31-22684f5662d3-small.jpg,640,545,704,600,250,213,G4yY2,Camelot / Galahad
GRY2O-MLWdy,GRY2O,True,F-14 Tomcat,,F14,1,804,1987-03-01,1987,ss,alphanumeric,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/7920a28c-9637-4c31-b7a5-35986f6e61c9-medium.jpg,https://img.opdb.org/7920a28c-9637-4c31-b7a5-35986f6e61c9-large.jpg,https://img.opdb.org/7920a28c-9637-4c31-b7a5-35986f6e61c9-small.jpg,640,445,697,485,250,174,GRY2O,F-14 Tomcat
G5Kvx-MQdpl,G5Kvx,True,Baby Pac-Man,,BPAC,1,125,1982-01-01,1982,ss,cga,2,,video-games ,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/cdf1fe81-2057-40c0-bc56-6c26a915ba56-medium.jpg,https://img.opdb.org/cdf1fe81-2057-40c0-bc56-6c26a915ba56-large.jpg,https://img.opdb.org/cdf1fe81-2057-40c0-bc56-6c26a915ba56-small.jpg,640,191,900,268,250,74,G5Kvx,Baby Pac-Man
G41WL-MQKn5,G41WL,True,Speed Way,,,1,2281,1948-01-01,1948,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/e1649628-6e08-462e-b868-379c77f334a4-medium.jpg,https://img.opdb.org/e1649628-6e08-462e-b868-379c77f334a4-large.jpg,https://img.opdb.org/e1649628-6e08-462e-b868-379c77f334a4-small.jpg,528,600,528,600,220,250,G41WL,Speed Way
GrxdD-MLOPO,GrxdD,True,Flipper Pool,,,1,896,1965-10-01,1965,em,reels,1,Add-a-ball ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/5371f78f-cc12-4956-8428-df1876697184-medium.jpg,https://img.opdb.org/5371f78f-cc12-4956-8428-df1876697184-large.jpg,https://img.opdb.org/5371f78f-cc12-4956-8428-df1876697184-small.jpg,432,640,609,903,168,250,GrxdD,Bank-A-Ball / Flipper Pool
G5W9p-MJw0B,G5W9p,True,Freefall,,,1,953,1981-01-01,1981,ss,alphanumeric,4,Widebody ,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/c1d7d753-8483-48c7-8be9-5767c639c481-medium.jpg,https://img.opdb.org/c1d7d753-8483-48c7-8be9-5767c639c481-large.jpg,https://img.opdb.org/c1d7d753-8483-48c7-8be9-5767c639c481-small.jpg,640,599,641,600,250,234,G5W9p,Freefall
GrNkY-MDbn2,GrNkY,True,Devil's Dare,,DD,1,673,1982-08-01,1982,ss,alphanumeric,4,Widebody ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/33108052-5cb0-47cd-86a8-889ff34118fb-medium.jpg,https://img.opdb.org/33108052-5cb0-47cd-86a8-889ff34118fb-large.jpg,https://img.opdb.org/33108052-5cb0-47cd-86a8-889ff34118fb-small.jpg,640,503,725,570,250,197,GrNkY,Devil's Dare
G50qY-ML0YB,G50qY,True,Spitfire,,,1,2296,1954-12-01,1954,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/f0e4cf90-a375-4951-8b24-0b35a7730df4-medium.jpg,https://img.opdb.org/f0e4cf90-a375-4951-8b24-0b35a7730df4-large.jpg,https://img.opdb.org/f0e4cf90-a375-4951-8b24-0b35a7730df4-small.jpg,640,480,800,600,250,188,G50qY,Spitfire
Gr1lY-MJ55W,Gr1lY,True,Big Valley,,,1,289,1970-05-01,1970,em,reels,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/7c85170f-5986-4d88-947a-b8bfdc165c25-medium.jpg,https://img.opdb.org/7c85170f-5986-4d88-947a-b8bfdc165c25-large.jpg,https://img.opdb.org/7c85170f-5986-4d88-947a-b8bfdc165c25-small.jpg,640,566,868,768,250,221,Gr1lY,Big Valley
GRBxq-MJpOP,GRBxq,True,Safe Cracker,,SC,1,3782,1996-03-01,1996,ss,dmd,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/d6d49679-c188-4b44-80df-2cedb2792d28-medium.jpg,https://img.opdb.org/d6d49679-c188-4b44-80df-2cedb2792d28-large.jpg,https://img.opdb.org/d6d49679-c188-4b44-80df-2cedb2792d28-small.jpg,640,582,660,600,250,227,GRBxq,Safe Cracker
